"","AphiaID_host","scientificname","valid_AphiaID","valid_name","isMarine","isBrackish","isFreshwater","taxon_path"
"4602",208628,"Aplysia cornigera",208628,"Aplysia cornigera",1,NA,0,"Animalia|Mollusca|Gastropoda|Aplysiida|Aplysiidae|Aplysia|Aplysia cornigera"
"4603",299015,"Raja rostrata",279673,"Aptychotrema rostrata",1,1,0,"Animalia|Chordata|Elasmobranchii|Rajiformes|Rajidae|Raja|Aptychotrema rostrata"
"4604",219707,"Allothunnus fallai",219707,"Allothunnus fallai",1,0,0,"Animalia|Chordata|Teleostei|Scombriformes|Scombridae|Allothunnus|Allothunnus fallai"
"4605",273815,"Scomberomorus multiradiatus",273815,"Scomberomorus multiradiatus",1,1,0,"Animalia|Chordata|Teleostei|Scombriformes|Scombridae|Scomberomorus|Scomberomorus multiradiatus"
"4606",300340,"Alosa nordmanni",272256,"Alosa tanaica",1,1,1,"Animalia|Chordata|Teleostei|Clupeiformes|Alosidae|Alosa|Alosa tanaica"
"4607",318272,"Gunnellus vulgaris",126996,"Pholis gunnellus",1,1,0,"Animalia|Chordata|Teleostei|Perciformes|Stichaeidae|Gunnellus|Pholis gunnellus"
"4608",306191,"Myoxocephalus brandti",274389,"Myoxocephalus brandtii",1,0,0,"Animalia|Chordata|Teleostei|Perciformes|Cottidae|Myoxocephalus|Myoxocephalus brandtii"
"4609",738009,"Doridopsis rubra",181233,"Dendrodoris fumata",1,NA,0,"Animalia|Mollusca|Gastropoda|Nudibranchia|Dendrodorididae|Doridopsis|Dendrodoris fumata"
"4610",299824,"Synaphobranchus bathybius",126323,"Histiobranchus bathybius",1,0,0,"Animalia|Chordata|Teleostei|Anguilliformes|Synaphobranchidae|Synaphobranchus|Histiobranchus bathybius"
"4611",217733,"Lepidion ensiferus",217733,"Lepidion ensiferus",1,0,0,"Animalia|Chordata|Teleostei|Gadiformes|Moridae|Lepidion|Lepidion ensiferus"
"4612",272331,"Coryphaenoides filifer",272331,"Coryphaenoides filifer",1,0,0,"Animalia|Chordata|Teleostei|Gadiformes|Macrouridae|Coryphaenoides|Coryphaenoides filifer"
"4613",140732,"Ensis directus",876640,"Ensis leei",1,1,0,"Animalia|Mollusca|Bivalvia|Adapedonta|Pharidae|Ensis|Ensis leei"
"4614",243362,"Ophiacantha imago",243362,"Ophiacantha imago",1,0,0,"Animalia|Echinodermata|Ophiuroidea|Ophiacanthida|Ophiacanthidae|Ophiacantha|Ophiacantha imago"
"4615",1022721,"Piaractus brachypomus",1022721,"Piaractus brachypomus",0,0,1,"Animalia|Chordata|Teleostei|Characiformes|Serrasalmidae|Piaractus|Piaractus brachypomus"
"4616",535699,"Pleurobranchaea japonica",535699,"Pleurobranchaea japonica",1,NA,NA,"Animalia|Mollusca|Gastropoda|Pleurobranchida|Pleurobranchaeidae|Pleurobranchaea|Pleurobranchaea japonica"
"4617",599508,"Hoplodoris armata",758443,"Carminodoris armata",1,NA,NA,"Animalia|Mollusca|Gastropoda|Nudibranchia|Discodorididae|Hoplodoris|Carminodoris armata"
"4618",282291,"Pleuronichthys cornutus",282291,"Pleuronichthys cornutus",1,0,0,"Animalia|Chordata|Teleostei|Pleuronectiformes|Pleuronectidae|Pleuronichthys|Pleuronichthys cornutus"
"4619",275360,"Pseudopleuronectes yokohamae",275360,"Pseudopleuronectes yokohamae",1,0,0,"Animalia|Chordata|Teleostei|Pleuronectiformes|Pleuronectidae|Pseudopleuronectes|Pseudopleuronectes yokohamae"
"4620",290450,"Nemanthus annamensis",290450,"Nemanthus annamensis",1,NA,NA,"Animalia|Cnidaria|Hexacorallia|Actiniaria|Nemanthidae|Nemanthus|Nemanthus annamensis"
"4621",1620282,"Therapon plumbeus",1020693,"Leiopotherapon plumbeus",0,0,1,"Animalia|Chordata|Teleostei|Centrarchiformes|Terapontidae|Therapon|Leiopotherapon plumbeus"
"4622",288650,"Nephthea amentacea",874438,"Litophyton amentaceum",1,NA,0,"Animalia|Cnidaria|Octocorallia|Malacalcyonacea|Nephtheidae|Nephthea|Litophyton amentaceum"
"4623",288656,"Nephthea bumasta",874119,"Litophyton bumastum",1,0,0,"Animalia|Cnidaria|Octocorallia|Malacalcyonacea|Nephtheidae|Nephthea|Litophyton bumastum"
"4624",288670,"Nephthea filamentosa",874121,"Litophyton filamentosum",1,0,0,"Animalia|Cnidaria|Octocorallia|Malacalcyonacea|Nephtheidae|Nephthea|Litophyton filamentosum"
"4625",288676,"Nephthea lanternaria",874123,"Litophyton lanternarium",1,0,0,"Animalia|Cnidaria|Octocorallia|Malacalcyonacea|Nephtheidae|Nephthea|Litophyton lanternarium"
"4626",291990,"Stereonephthya nosybearia",291990,"Stereonephthya nosybearia",1,NA,0,"Animalia|Cnidaria|Octocorallia|Malacalcyonacea|Nephtheidae|Stereonephthya|Stereonephthya nosybearia"
"4627",291999,"Stereonephthya scaphis",291999,"Stereonephthya scaphis",1,NA,0,"Animalia|Cnidaria|Octocorallia|Malacalcyonacea|Nephtheidae|Stereonephthya|Stereonephthya scaphis"
"4628",220533,"Siphonosoma cumanense",220533,"Siphonosoma cumanense",1,0,0,"Animalia|Annelida|NA|Sipuncula|Siphonosomatidae|Siphonosoma|Siphonosoma cumanense"
"4629",398358,"Salminus franciscanus",398358,"Salminus franciscanus",0,0,1,"Animalia|Chordata|Teleostei|Characiformes|Bryconidae|Salminus|Salminus franciscanus"
"4630",207217,"Goniopora minor",759975,"Goniopora pedunculata",1,NA,0,"Animalia|Cnidaria|Hexacorallia|Scleractinia|Poritidae|Goniopora|Goniopora pedunculata"
"4631",272428,"Nezumia stelgidolepis",272428,"Nezumia stelgidolepis",1,0,0,"Animalia|Chordata|Teleostei|Gadiformes|Macrouridae|Nezumia|Nezumia stelgidolepis"
"4632",251961,"Aplidium lacteum",103658,"Aplidium pallidum",1,NA,0,"Animalia|Chordata|Ascidiacea|Aplousobranchia|Polyclinidae|Aplidium|Aplidium pallidum"
"4633",215254,"Arca antiquata",207754,"Anadara antiquata",1,NA,NA,"Animalia|Mollusca|Bivalvia|Arcida|Arcidae|Arca|Anadara antiquata"
"4634",251036,"Polycarpa madagascariensis",251036,"Polycarpa madagascariensis",1,NA,0,"Animalia|Chordata|Ascidiacea|Stolidobranchia|Styelidae|Polycarpa|Polycarpa madagascariensis"
"4635",246352,"Neaxius acanthus",246352,"Neaxius acanthus",1,0,0,"Animalia|Arthropoda|Malacostraca|Decapoda|Strahlaxiidae|Neaxius|Neaxius acanthus"
