Copepod_species,Copepod_order,Copepod_family,Host_species,Host_order,Host_family,Host_genus,BodyShapeI.x,Fresh,Brack,Saltwater,DemersPelag,AnaCat,DepthRangeShallow,DepthRangeDeep,LongevityWild,Length.x,LTypeMaxM,Class,BodyShapeI.y
Colobomatus luquei,Cyclopoida,Philichthyidae,Holocentrus adscensionis,Holocentriformes,Holocentridae,Holocentrus,fusiform / normal,0,0,1,reef-associated,NA,0,180,NA,61,TL,Actinopteri,fusiform / normal
Colobomatus freirei,Cyclopoida,Philichthyidae,Holocentrus rufus,Holocentriformes,Holocentridae,Holocentrus,fusiform / normal,0,0,1,reef-associated,NA,0,32,NA,35,TL,Actinopteri,fusiform / normal
Ichthyotaces pteroisicola,Cyclopoida,Philichthyidae,Synodus variegatus,Aulopiformes,Synodontidae,Synodus,elongated,0,0,1,reef-associated,NA,3,121,NA,40,TL,Actinopteri,elongated
Ichthyotaces pteroisicola,Cyclopoida,Philichthyidae,Pterois lunulata,Perciformes,Scorpaenidae,Pterois,fusiform / normal,0,0,1,reef-associated,NA,132,172,NA,35,TL,Actinopteri,fusiform / normal
Colobomatus belizensis,Cyclopoida,Philichthyidae,Haemulon sciurus,Eupercaria incertae sedis,Haemulidae,Haemulon,fusiform / normal,0,0,1,reef-associated,NA,0,30,12,46,TL,Actinopteri,fusiform / normal
Colobomatus belizensis,Cyclopoida,Philichthyidae,Haemulon carbonarium,Eupercaria incertae sedis,Haemulidae,Haemulon,fusiform / normal,0,0,1,reef-associated,NA,3,25,NA,36,TL,Actinopteri,fusiform / normal
Colobomatus belizensis,Cyclopoida,Philichthyidae,Haemulon aurolineatum,Eupercaria incertae sedis,Haemulidae,Haemulon,fusiform / normal,0,0,1,reef-associated,NA,NA,30,NA,25,TL,Actinopteri,fusiform / normal
Colobomatus belizensis,Cyclopoida,Philichthyidae,Haemulon chrysargyreum,Eupercaria incertae sedis,Haemulidae,Haemulon,fusiform / normal,0,0,1,reef-associated,NA,0,25,NA,23,TL,Actinopteri,fusiform / normal
Colobomatus belizensis,Cyclopoida,Philichthyidae,Haemulon macrostomum,Eupercaria incertae sedis,Haemulidae,Haemulon,short and / or deep,0,0,1,reef-associated,NA,5,25,NA,43,TL,Actinopteri,fusiform / normal
Colobomatus belizensis,Cyclopoida,Philichthyidae,Haemulon steindachneri,Eupercaria incertae sedis,Haemulidae,Haemulon,fusiform / normal,0,0,1,reef-associated,NA,0,50,NA,30,TL,Actinopteri,fusiform / normal
Colobomatus belizensis,Cyclopoida,Philichthyidae,Orthopristis chrysoptera,Eupercaria incertae sedis,Haemulidae,Orthopristis,short and / or deep,0,1,1,demersal,oceanodromous,10,NA,4,46,SL,Actinopteri,fusiform / normal
Colobomatus belizensis,Cyclopoida,Philichthyidae,Haemulon melanurum,Eupercaria incertae sedis,Haemulidae,Haemulon,short and / or deep,0,0,1,reef-associated,NA,3,50,NA,33,TL,Actinopteri,fusiform / normal
Colobomatus caribbei,Cyclopoida,Philichthyidae,Anisotremus surinamensis,Eupercaria incertae sedis,Haemulidae,Anisotremus,short and / or deep,0,0,1,reef-associated,NA,0,20,NA,76,TL,Actinopteri,fusiform / normal
Colobomatus collettei,Cyclopoida,Philichthyidae,Hemiramphus robustus,Beloniformes,Hemiramphidae,Hemiramphus,elongated,0,1,1,pelagic-neritic,NA,0,NA,NA,31.5,SL,Actinopteri,elongated
Colobomatus collettei,Cyclopoida,Philichthyidae,Hemiramphus far,Beloniformes,Hemiramphidae,Hemiramphus,elongated,0,1,1,reef-associated,non-migratory,0,6,NA,45,TL,Actinopteri,elongated
Colobomatus cresseyi,Cyclopoida,Philichthyidae,Pseudocaranx dentex,Carangiformes,Carangidae,Pseudocaranx,fusiform / normal,0,1,1,reef-associated,NA,10,238,49,122,TL,Actinopteri,fusiform / normal
Colobomatus cresseyi,Cyclopoida,Philichthyidae,Hyporhamphus regularis,Beloniformes,Hemiramphidae,Hyporhamphus,elongated,1,1,0,pelagic,NA,0,NA,NA,37,TL,Actinopteri,elongated
Colobomatus deltotus,Cyclopoida,Philichthyidae,Mugil cephalus,Mugiliformes,Mugilidae,Mugil,fusiform / normal,1,1,1,benthopelagic,catadromous,0,120,16,100,SL,Actinopteri,fusiform / normal
Colobomatus deltotus,Cyclopoida,Philichthyidae,Myxus elongatus,Mugiliformes,Mugilidae,Myxus,fusiform / normal,1,1,1,demersal,catadromous,1,10,NA,40,TL,Actinopteri,fusiform / normal
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Embiotoca jacksoni,Ovalentaria incertae sedis,Embiotocidae,Embiotoca,short and / or deep,0,0,1,demersal,NA,0,46,10,39,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Embiotoca lateralis,Ovalentaria incertae sedis,Embiotocidae,Embiotoca,short and / or deep,0,0,1,demersal,NA,NA,21,10,38,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Zalembius rosaceus,Ovalentaria incertae sedis,Embiotocidae,Zalembius,NA,0,0,1,demersal,NA,8,229,NA,20,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Hyperprosopon argenteum,Ovalentaria incertae sedis,Embiotocidae,Hyperprosopon,short and / or deep,0,0,1,demersal,NA,NA,18,6,30,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Hyperprosopon ellipticum,Ovalentaria incertae sedis,Embiotocidae,Hyperprosopon,short and / or deep,0,0,1,demersal,NA,0,110,7,27,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Hypsurus caryi,Ovalentaria incertae sedis,Embiotocidae,Hypsurus,short and / or deep,0,0,1,demersal,NA,1,50,NA,30,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Micrometrus minimus,Ovalentaria incertae sedis,Embiotocidae,Micrometrus,short and / or deep,0,0,1,demersal,NA,NA,9,NA,16,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Phanerodon furcatus,Ovalentaria incertae sedis,Embiotocidae,Phanerodon,fusiform / normal,0,0,1,demersal,NA,NA,43,NA,32,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Amphistichus argenteus,Ovalentaria incertae sedis,Embiotocidae,Amphistichus,fusiform / normal,0,0,1,demersal,NA,0,73,9,43,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Brachyistius frenatus,Ovalentaria incertae sedis,Embiotocidae,Brachyistius,fusiform / normal,0,0,1,demersal,NA,NA,30,NA,22,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Rhacochilus toxotes,Ovalentaria incertae sedis,Embiotocidae,Rhacochilus,short and / or deep,0,0,1,demersal,NA,1,50,NA,47,TL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Rhacochilus vacca,Ovalentaria incertae sedis,Embiotocidae,Rhacochilus,short and / or deep,0,0,1,demersal,NA,NA,46,NA,44.20000076,SL,Actinopteri,short and / or deep
Colobomatus embiotocae,Cyclopoida,Philichthyidae,Cymatogaster aggregata,Ovalentaria incertae sedis,Embiotocidae,Cymatogaster,short and / or deep,0,1,1,demersal,non-migratory,1,146,9,20.29999924,TL,Actinopteri,short and / or deep
Colobomatus fusiformis,Cyclopoida,Philichthyidae,Heniochus monoceros,Acanthuriformes,Chaetodontidae,Heniochus,short and / or deep,0,0,1,reef-associated,NA,2,30,NA,24,TL,Actinopteri,short and / or deep
Colobomatus goodingi,Cyclopoida,Philichthyidae,Ablennes hians,Beloniformes,Belonidae,Ablennes,elongated,0,1,1,reef-associated,oceanodromous,0,3,NA,140,TL,Actinopteri,elongated
Colobomatus goodingi,Cyclopoida,Philichthyidae,Strongylura exilis,Beloniformes,Belonidae,Strongylura,elongated,1,1,1,pelagic-neritic,NA,0,100,NA,91,TL,Actinopteri,elongated
Colobomatus goodingi,Cyclopoida,Philichthyidae,Strongylura timucu,Beloniformes,Belonidae,Strongylura,elongated,1,1,1,reef-associated,NA,1,3,NA,61,TL,Actinopteri,elongated
Colobomatus hispidus,Cyclopoida,Philichthyidae,Pomadasys maculatus,Eupercaria incertae sedis,Haemulidae,Pomadasys,fusiform / normal,0,1,1,reef-associated,amphidromous,20,110,NA,59.29999924,TL,Actinopteri,fusiform / normal
Colobomatus mackayi,Cyclopoida,Philichthyidae,Pomadasys striatus,Eupercaria incertae sedis,Haemulidae,Pomadasys,fusiform / normal,0,0,1,benthopelagic,NA,NA,30,NA,22,TL,Actinopteri,fusiform / normal
Colobomatus mylionus,Cyclopoida,Philichthyidae,Acanthopagrus schlegelii,Eupercaria incertae sedis,Sparidae,Acanthopagrus,short and / or deep,0,1,1,demersal,NA,15,NA,NA,50,SL,Actinopteri,fusiform / normal
Colobomatus mylionus,Cyclopoida,Philichthyidae,Acanthopagrus australis,Eupercaria incertae sedis,Sparidae,Acanthopagrus,fusiform / normal,0,1,1,demersal,oceanodromous,NA,NA,14,66,SL,Actinopteri,fusiform / normal
Colobomatus mylionus,Cyclopoida,Philichthyidae,Acanthopagrus berda,Eupercaria incertae sedis,Sparidae,Acanthopagrus,short and / or deep,1,1,1,demersal,oceanodromous,NA,50,14,90,TL,Actinopteri,fusiform / normal
Colobomatus nanus,Cyclopoida,Philichthyidae,Pelates quadrilineatus,Centrarchiformes,Terapontidae,Pelates,fusiform / normal,0,1,1,reef-associated,NA,0,NA,NA,30,TL,Actinopteri,fusiform / normal
Colobomatus ornatus,Cyclopoida,Philichthyidae,Pentapodus setosus,Eupercaria incertae sedis,Nemipteridae,Pentapodus,fusiform / normal,0,0,1,reef-associated,NA,5,50,NA,18,SL,Actinopteri,fusiform / normal
Colobomatus pupa,Cyclopoida,Philichthyidae,Parupeneus spilurus,Mulliformes,Mullidae,Parupeneus,fusiform / normal,0,1,1,reef-associated,NA,10,80,NA,50,TL,Actinopteri,fusiform / normal
Colobomatus pupa,Cyclopoida,Philichthyidae,Parupeneus ciliatus,Mulliformes,Mullidae,Parupeneus,fusiform / normal,0,0,1,reef-associated,NA,2,91,NA,38,TL,Actinopteri,fusiform / normal
Colobomatus quadrifarius,Cyclopoida,Philichthyidae,Orthopristis reddingi,Eupercaria incertae sedis,Haemulidae,Orthopristis,fusiform / normal,0,0,1,demersal,NA,NA,NA,NA,29.79999924,FL,Actinopteri,fusiform / normal
Colobomatus quadrifarius,Cyclopoida,Philichthyidae,Haemulon flaviguttatum,Eupercaria incertae sedis,Haemulidae,Haemulon,short and / or deep,0,0,1,demersal,NA,NA,NA,NA,42,TL,Actinopteri,fusiform / normal
Colobomatus quadrifarius,Cyclopoida,Philichthyidae,Haemulon steindachneri,Eupercaria incertae sedis,Haemulidae,Haemulon,fusiform / normal,0,0,1,reef-associated,NA,0,50,NA,30,TL,Actinopteri,fusiform / normal
Colobomatus quadrifarius,Cyclopoida,Philichthyidae,Orthopristis chalceus,Eupercaria incertae sedis,Haemulidae,Orthopristis,fusiform / normal,0,0,1,demersal,NA,10,60,NA,45,TL,Actinopteri,fusiform / normal
Colobomatus quadrifarius,Cyclopoida,Philichthyidae,Anisotremus interruptus,Eupercaria incertae sedis,Haemulidae,Anisotremus,short and / or deep,0,0,1,reef-associated,NA,3,30,NA,51,TL,Actinopteri,fusiform / normal
Colobomatus rothae,Cyclopoida,Philichthyidae,Platycephalus fuscus,Perciformes,Platycephalidae,Platycephalus,fusiform / normal,0,1,1,demersal,NA,0,30,NA,120,TL,Actinopteri,elongated
Colobomatus sillaginis,Cyclopoida,Philichthyidae,Sillago maculata,Eupercaria incertae sedis,Sillaginidae,Sillago,elongated,0,1,1,demersal,non-migratory,0,50,NA,30,TL,Actinopteri,elongated
Colobomatus sillaginis,Cyclopoida,Philichthyidae,Sillago aeolus,Eupercaria incertae sedis,Sillaginidae,Sillago,elongated,0,0,1,demersal,non-migratory,0,60,NA,30,SL,Actinopteri,elongated
Colobomatus sillaginis,Cyclopoida,Philichthyidae,Sillago bassensis,Eupercaria incertae sedis,Sillaginidae,Sillago,fusiform / normal,0,0,1,demersal,oceanodromous,1,60,NA,33,SL,Actinopteri,elongated
Colobomatus sillaginis,Cyclopoida,Philichthyidae,Sillago burrus,Eupercaria incertae sedis,Sillaginidae,Sillago,fusiform / normal,0,0,1,demersal,oceanodromous,0,36,NA,36,SL,Actinopteri,elongated
Colobomatus sillaginis,Cyclopoida,Philichthyidae,Sillago ciliata,Eupercaria incertae sedis,Sillaginidae,Sillago,fusiform / normal,0,1,1,demersal,non-migratory,0,46,22,51,TL,Actinopteri,elongated
Colobomatus sillaginis,Cyclopoida,Philichthyidae,Sillago flindersi,Eupercaria incertae sedis,Sillaginidae,Sillago,fusiform / normal,0,0,1,demersal,oceanodromous,1,180,7,32,TL,Actinopteri,elongated
Colobomatus sillaginis,Cyclopoida,Philichthyidae,Sillago robusta,Eupercaria incertae sedis,Sillaginidae,Sillago,fusiform / normal,0,0,1,demersal,oceanodromous,10,70,NA,30,TL,Actinopteri,elongated
Colobomatus sillaginis,Cyclopoida,Philichthyidae,Sillago schomburgkii,Eupercaria incertae sedis,Sillaginidae,Sillago,elongated,0,1,1,demersal,non-migratory,0,30,12,42,TL,Actinopteri,elongated
Colobomatus sillaginis,Cyclopoida,Philichthyidae,Sillago sihama,Eupercaria incertae sedis,Sillaginidae,Sillago,elongated,0,1,1,reef-associated,amphidromous,0,60,7,31,SL,Actinopteri,elongated
Colobomatus sillaginis,Cyclopoida,Philichthyidae,Sillago analis,Eupercaria incertae sedis,Sillaginidae,Sillago,fusiform / normal,0,1,1,demersal,non-migratory,0,10,NA,45,SL,Actinopteri,elongated
Colobomatus springeri,Cyclopoida,Philichthyidae,Cryptotrema corallinum,Blenniiformes,Labrisomidae,Cryptotrema,elongated,0,0,1,demersal,NA,24,91,NA,13,TL,Actinopteri,elongated
Colobomatus minimus,Cyclopoida,Philichthyidae,Serranus hepatus,Perciformes,Serranidae,Serranus,fusiform / normal,0,0,1,demersal,NA,5,100,NA,25,TL,Actinopteri,fusiform / normal
Colobomatus richiardi,Cyclopoida,Philichthyidae,Sarpa salpa,Eupercaria incertae sedis,Sparidae,Sarpa,fusiform / normal,0,1,1,benthopelagic,oceanodromous,5,70,NA,51,SL,Actinopteri,fusiform / normal
Colobomatus agassizi,Cyclopoida,Philichthyidae,Diplodus puntazzo,Eupercaria incertae sedis,Sparidae,Diplodus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,0,150,NA,60,TL,Actinopteri,fusiform / normal
Colobomatus canthari,Cyclopoida,Philichthyidae,Spondyliosoma cantharus,Eupercaria incertae sedis,Sparidae,Spondyliosoma,fusiform / normal,0,0,1,benthopelagic,oceanodromous,5,300,NA,60,SL,Actinopteri,fusiform / normal
Colobomatus denticis,Cyclopoida,Philichthyidae,Dentex dentex,Eupercaria incertae sedis,Sparidae,Dentex,fusiform / normal,0,0,1,benthopelagic,NA,0,200,NA,100,TL,Actinopteri,fusiform / normal
Colobomatus doderleini,Cyclopoida,Philichthyidae,Labrus merula,Eupercaria incertae sedis,Labridae,Labrus,fusiform / normal,0,0,1,reef-associated,NA,NA,NA,17,45,SL,Actinopteri,fusiform / normal
Colobomatus edwardsi,Cyclopoida,Philichthyidae,Serranus cabrilla,Perciformes,Serranidae,Serranus,fusiform / normal,0,0,1,demersal,NA,5,500,NA,40,SL,Actinopteri,fusiform / normal
Colobomatus edwardsi,Cyclopoida,Philichthyidae,Serranus scriba,Perciformes,Serranidae,Serranus,fusiform / normal,0,0,1,demersal,NA,5,150,16,36,SL,Actinopteri,fusiform / normal
Colobomatus fiatolae,Cyclopoida,Philichthyidae,Stromateus fiatola,Perciformes,Stromateidae,Stromateus,short and / or deep,0,0,1,benthopelagic,NA,10,70,NA,50,SL,Actinopteri,short and / or deep
Colobomatus grubei,Cyclopoida,Philichthyidae,Diplodus annularis,Eupercaria incertae sedis,Sparidae,Diplodus,fusiform / normal,0,1,1,benthopelagic,NA,0,90,7,27.5,TL,Actinopteri,fusiform / normal
Colobomatus grubei,Cyclopoida,Philichthyidae,Diplodus puntazzo,Eupercaria incertae sedis,Sparidae,Diplodus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,0,150,NA,60,TL,Actinopteri,fusiform / normal
Colobomatus grubei,Cyclopoida,Philichthyidae,Diplodus vulgaris,Eupercaria incertae sedis,Sparidae,Diplodus,fusiform / normal,0,0,1,benthopelagic,oceanodromous,0,160,NA,45,TL,Actinopteri,fusiform / normal
Colobomatus haeckeli,Cyclopoida,Philichthyidae,Brama brama,Scombriformes,Bramidae,Brama,short and / or deep,0,0,1,pelagic-neritic,oceanodromous,0,1000,9,100,TL,Actinopteri,short and / or deep
Colobomatus labracis,Cyclopoida,Philichthyidae,Dicentrarchus labrax,Eupercaria incertae sedis,Moronidae,Dicentrarchus,fusiform / normal,1,1,1,demersal,oceanodromous,10,100,30,103,TL,Actinopteri,fusiform / normal
Colobomatus lichiae,Cyclopoida,Philichthyidae,Lichia amia,Carangiformes,Carangidae,Lichia,fusiform / normal,0,1,1,pelagic-neritic,oceanodromous,0,50,NA,200,TL,Actinopteri,fusiform / normal
Colobomatus lichiae,Cyclopoida,Philichthyidae,Seriola dumerili,Carangiformes,Carangidae,Seriola,fusiform / normal,0,0,1,reef-associated,oceanodromous,1,360,15,190,TL,Actinopteri,fusiform / normal
Colobomatus mugilis,Cyclopoida,Philichthyidae,Chelon labrosus,Mugiliformes,Mugilidae,Chelon,elongated,1,1,1,demersal,catadromous,NA,NA,25,75,SL,Actinopteri,fusiform / normal
Colobomatus mugilis,Cyclopoida,Philichthyidae,Mugil cephalus,Mugiliformes,Mugilidae,Mugil,fusiform / normal,1,1,1,benthopelagic,catadromous,0,120,16,100,SL,Actinopteri,fusiform / normal
Colobomatus mulli,Cyclopoida,Philichthyidae,Mullus barbatus,Mulliformes,Mullidae,Mullus,fusiform / normal,0,0,1,demersal,NA,10,328,NA,38.20000076,TL,Actinopteri,fusiform / normal
Colobomatus mulli,Cyclopoida,Philichthyidae,Mullus surmuletus,Mulliformes,Mullidae,Mullus,fusiform / normal,0,0,1,demersal,oceanodromous,5,409,11,40,SL,Actinopteri,fusiform / normal
Colobomatus muraenae,Cyclopoida,Philichthyidae,Muraena helena,Anguilliformes,Muraenidae,Muraena,eel-like,0,0,1,reef-associated,NA,1,801,38,150,TL,Actinopteri,eel-like
Colobomatus oblatae,Cyclopoida,Philichthyidae,Oblada melanura,Eupercaria incertae sedis,Sparidae,Oblada,fusiform / normal,0,0,1,benthopelagic,oceanodromous,NA,30,NA,36.59999847,TL,Actinopteri,fusiform / normal
Colobomatus oblatae,Cyclopoida,Philichthyidae,Diplodus puntazzo,Eupercaria incertae sedis,Sparidae,Diplodus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,0,150,NA,60,TL,Actinopteri,fusiform / normal
Colobomatus oblatae,Cyclopoida,Philichthyidae,Pagellus acarne,Eupercaria incertae sedis,Sparidae,Pagellus,fusiform / normal,0,0,1,benthopelagic,oceanodromous,NA,500,NA,36,SL,Actinopteri,fusiform / normal
Colobomatus oblatae,Cyclopoida,Philichthyidae,Pagellus bogaraveo,Eupercaria incertae sedis,Sparidae,Pagellus,fusiform / normal,0,0,1,benthopelagic,NA,150,700,15,70,SL,Actinopteri,fusiform / normal
Colobomatus pagelli,Cyclopoida,Philichthyidae,Pagellus bogaraveo,Eupercaria incertae sedis,Sparidae,Pagellus,fusiform / normal,0,0,1,benthopelagic,NA,150,700,15,70,SL,Actinopteri,fusiform / normal
Colobomatus pagelli,Cyclopoida,Philichthyidae,Pagellus erythrinus,Eupercaria incertae sedis,Sparidae,Pagellus,fusiform / normal,0,0,1,benthopelagic,NA,NA,300,NA,60,SL,Actinopteri,fusiform / normal
Colobomatus pagelli,Cyclopoida,Philichthyidae,Lithognathus mormyrus,Eupercaria incertae sedis,Sparidae,Lithognathus,fusiform / normal,0,1,1,demersal,NA,0,150,12,55,TL,Actinopteri,fusiform / normal
Colobomatus pagri,Cyclopoida,Philichthyidae,Pagellus erythrinus,Eupercaria incertae sedis,Sparidae,Pagellus,fusiform / normal,0,0,1,benthopelagic,NA,NA,300,NA,60,SL,Actinopteri,fusiform / normal
Colobomatus sciaenae,Cyclopoida,Philichthyidae,Sciaena umbra,Eupercaria incertae sedis,Sciaenidae,Sciaena,fusiform / normal,0,1,1,demersal,NA,1,200,21,70,TL,Actinopteri,fusiform / normal
Colobomatus sciaenae,Cyclopoida,Philichthyidae,Argyrosomus regius,Eupercaria incertae sedis,Sciaenidae,Argyrosomus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,15,300,NA,230,TL,Actinopteri,fusiform / normal
Colobomatus sieboldi,Cyclopoida,Philichthyidae,Boops boops,Eupercaria incertae sedis,Sparidae,Boops,fusiform / normal,0,0,1,demersal,oceanodromous,0,350,NA,40,TL,Actinopteri,fusiform / normal
Colobomatus sparsi,Cyclopoida,Philichthyidae,Diplodus annularis,Eupercaria incertae sedis,Sparidae,Diplodus,fusiform / normal,0,1,1,benthopelagic,NA,0,90,7,27.5,TL,Actinopteri,fusiform / normal
Colobomatus steenstrupi,Cyclopoida,Philichthyidae,Mullus barbatus,Mulliformes,Mullidae,Mullus,fusiform / normal,0,0,1,demersal,NA,10,328,NA,38.20000076,TL,Actinopteri,fusiform / normal
Colobomatus steenstrupi,Cyclopoida,Philichthyidae,Mullus surmuletus,Mulliformes,Mullidae,Mullus,fusiform / normal,0,0,1,demersal,oceanodromous,5,409,11,40,SL,Actinopteri,fusiform / normal
Colobomatus vallei,Cyclopoida,Philichthyidae,Sarpa salpa,Eupercaria incertae sedis,Sparidae,Sarpa,fusiform / normal,0,1,1,benthopelagic,oceanodromous,5,70,NA,51,SL,Actinopteri,fusiform / normal
Leposphilus labrei,Cyclopoida,Philichthyidae,Symphodus mediterraneus,Eupercaria incertae sedis,Labridae,Symphodus,fusiform / normal,0,0,1,demersal,NA,1,50,8,18,SL,Actinopteri,fusiform / normal
Leposphilus labrei,Cyclopoida,Philichthyidae,Symphodus melops,Eupercaria incertae sedis,Labridae,Symphodus,fusiform / normal,0,0,1,reef-associated,non-migratory,NA,NA,9,28,SL,Actinopteri,fusiform / normal
Leposphilus labrei,Cyclopoida,Philichthyidae,Symphodus rostratus,Eupercaria incertae sedis,Labridae,Symphodus,fusiform / normal,0,0,1,reef-associated,NA,1,50,4,14.30000019,SL,Actinopteri,fusiform / normal
Leposphilus labrei,Cyclopoida,Philichthyidae,Symphodus tinca,Eupercaria incertae sedis,Labridae,Symphodus,fusiform / normal,0,1,1,reef-associated,NA,1,50,15,44,SL,Actinopteri,fusiform / normal
Leposphilus labrei,Cyclopoida,Philichthyidae,Centrolabrus exoletus,Eupercaria incertae sedis,Labridae,Centrolabrus,fusiform / normal,0,0,1,reef-associated,NA,NA,NA,6,18,TL,Actinopteri,fusiform / normal
Leposphilus labrei,Cyclopoida,Philichthyidae,Coris julis,Eupercaria incertae sedis,Labridae,Coris,fusiform / normal,0,0,1,reef-associated,NA,0,120,7,30,SL,Actinopteri,fusiform / normal
Leposphilus labrei,Cyclopoida,Philichthyidae,Labrus bergylta,Eupercaria incertae sedis,Labridae,Labrus,fusiform / normal,0,0,1,reef-associated,NA,1,50,29,65.90000153,TL,Actinopteri,fusiform / normal
Lernaeascus nematoxys,Cyclopoida,Philichthyidae,Monochirus hispidus,Pleuronectiformes,Soleidae,Monochirus,short and / or deep,0,0,1,demersal,NA,10,100,NA,22,TL,Actinopteri,short and / or deep
Philichthys xiphiae,Cyclopoida,Philichthyidae,Xiphias gladius,Carangiformes,Xiphiidae,Xiphias,elongated,0,0,1,pelagic-oceanic,oceanodromous,0,2878,NA,455,FL,Actinopteri,elongated
Sphaerifer corvinae,Cyclopoida,Philichthyidae,Sciaena umbra,Eupercaria incertae sedis,Sciaenidae,Sciaena,fusiform / normal,0,1,1,demersal,NA,1,200,21,70,TL,Actinopteri,fusiform / normal
Sphaerifer corvinae,Cyclopoida,Philichthyidae,Umbrina cirrosa,Eupercaria incertae sedis,Sciaenidae,Umbrina,fusiform / normal,0,0,1,demersal,NA,0,100,NA,73,TL,Actinopteri,fusiform / normal
Sphaerifer corvinae,Cyclopoida,Philichthyidae,Argyrosomus regius,Eupercaria incertae sedis,Sciaenidae,Argyrosomus,fusiform / normal,0,1,1,benthopelagic,oceanodromous,15,300,NA,230,TL,Actinopteri,fusiform / normal
Parashiinoa mackayi,Cyclopoida,Shiinoidae,Pomadasys maculatus,Eupercaria incertae sedis,Haemulidae,Pomadasys,fusiform / normal,0,1,1,reef-associated,amphidromous,20,110,NA,59.29999924,TL,Actinopteri,fusiform / normal
Parashiinoa mackayi,Cyclopoida,Shiinoidae,Pomadasys argenteus,Eupercaria incertae sedis,Haemulidae,Pomadasys,fusiform / normal,1,1,1,demersal,NA,15,115,NA,70,TL,Actinopteri,fusiform / normal
Shiinoa elagata,Cyclopoida,Shiinoidae,Elagatis bipinnulata,Carangiformes,Carangidae,Elagatis,fusiform / normal,0,0,1,reef-associated,NA,0,150,6,180,TL,Actinopteri,fusiform / normal
Shiinoa occlusa,Cyclopoida,Shiinoidae,Grammatorcynus bicarinatus,Scombriformes,Scombridae,Grammatorcynus,fusiform / normal,0,0,1,reef-associated,oceanodromous,15,50,NA,112,FL,Actinopteri,fusiform / normal
Shiinoa occlusa,Cyclopoida,Shiinoidae,Acanthocybium solandri,Scombriformes,Scombridae,Acanthocybium,elongated,0,0,1,pelagic-oceanic,oceanodromous,0,20,NA,250,TL,Actinopteri,fusiform / normal
Shiinoa occlusa,Cyclopoida,Shiinoidae,Gymnosarda unicolor,Scombriformes,Scombridae,Gymnosarda,fusiform / normal,0,0,1,reef-associated,oceanodromous,10,250,NA,247.9799957,FL,Actinopteri,fusiform / normal
Shiinoa occlusa,Cyclopoida,Shiinoidae,Scomberomorus guttatus,Scombriformes,Scombridae,Scomberomorus,fusiform / normal,0,1,1,pelagic-neritic,oceanodromous,15,200,NA,76,FL,Actinopteri,fusiform / normal
Shiinoa occlusa,Cyclopoida,Shiinoidae,Scomberomorus commerson,Scombriformes,Scombridae,Scomberomorus,fusiform / normal,0,0,1,pelagic-neritic,oceanodromous,10,70,NA,240,FL,Actinopteri,fusiform / normal
Shiinoa occlusa,Cyclopoida,Shiinoidae,Scomberomorus queenslandicus,Scombriformes,Scombridae,Scomberomorus,fusiform / normal,0,1,1,pelagic-neritic,oceanodromous,1,100,NA,100,FL,Actinopteri,fusiform / normal
Shiinoa occlusa,Cyclopoida,Shiinoidae,Scomberomorus niphonius,Scombriformes,Scombridae,Scomberomorus,elongated,0,0,1,pelagic-neritic,oceanodromous,0,200,NA,113.1999969,TL,Actinopteri,fusiform / normal
Shiinoa occlusa,Cyclopoida,Shiinoidae,Scomberomorus tritor,Scombriformes,Scombridae,Scomberomorus,fusiform / normal,0,1,1,pelagic-neritic,oceanodromous,1,40,5,100,TL,Actinopteri,fusiform / normal
Shiinoa rostrata,Cyclopoida,Shiinoidae,Priacanthus hamrur,Eupercaria incertae sedis,Priacanthidae,Priacanthus,short and / or deep,0,0,1,reef-associated,NA,8,250,NA,45,TL,Actinopteri,fusiform / normal
Shiinoa inauris,Cyclopoida,Shiinoidae,Scomberomorus brasiliensis,Scombriformes,Scombridae,Scomberomorus,fusiform / normal,0,0,1,reef-associated,oceanodromous,NA,NA,NA,125,FL,Actinopteri,fusiform / normal
