...1,AphiaID_host,scientificname,valid_AphiaID,valid_name,isMarine,isBrackish,isFreshwater,taxon_path
3045,1017249,Haplochromis schubotzi,1017249,Haplochromis schubotzi,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Haplochromis|Haplochromis schubotzi
3046,1016324,Haplochromis serridens,1016324,Haplochromis serridens,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Haplochromis|Haplochromis serridens
3047,1016824,Haplochromis squamipinnis,1016824,Haplochromis squamipinnis,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Haplochromis|Haplochromis squamipinnis
3048,1054085,Haplochromis wingatii,1018880,Thoracochromis wingatii,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Haplochromis|Thoracochromis wingatii
3049,1433699,Haplochromis philander,1015580,Pseudocrenilabrus philander,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Haplochromis|Pseudocrenilabrus philander
3050,1019091,Orthochromis polyacanthus,1019091,Orthochromis polyacanthus,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Orthochromis|Orthochromis polyacanthus
3051,1016871,Tylochromis labrodon,1016871,Tylochromis labrodon,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Tylochromis|Tylochromis labrodon
3052,1017655,Tilapia macrochir,298252,Oreochromis macrochir,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Tilapia|Oreochromis macrochir
3054,1018479,Haplochromis nubilus,1018479,Haplochromis nubilus,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Haplochromis|Haplochromis nubilus
3059,154585,Chondrostoma nasus,154585,Chondrostoma nasus,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Chondrostoma|Chondrostoma nasus
3063,1013534,Schizothorax lissolabiatus,1013534,Schizothorax lissolabiatus,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Schizothorax|Schizothorax lissolabiatus
3064,1016913,Labeo cylindricus,1016913,Labeo cylindricus,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Labeo|Labeo cylindricus
3076,1022331,Hypostomus guttatus,1017722,Pseudancistrus barbatus,0,0,1,Animalia|Chordata|Teleostei|Siluriformes|Loricariidae|Hypostomus|Pseudancistrus barbatus
3130,1017127,Thynnichthys vaillanti,1017127,Thynnichthys vaillanti,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Thynnichthys|Thynnichthys vaillanti
3131,1014595,Barbus gonionotus,1026316,Barbonymus gonionotus,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Barbus|Barbonymus gonionotus
3132,1019366,Bagrus meridionalis,1019366,Bagrus meridionalis,0,0,1,Animalia|Chordata|Teleostei|Siluriformes|Bagridae|Bagrus|Bagrus meridionalis
3133,1018236,Barilius steindachneri,1014733,Raiamas steindachneri,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Barilius|Raiamas steindachneri
3135,1014666,Cardiopharynx schoutedeni,1014666,Cardiopharynx schoutedeni,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Cardiopharynx|Cardiopharynx schoutedeni
3136,1019098,Cyathopharynx furcifer,1019098,Cyathopharynx furcifer,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Cyathopharynx|Cyathopharynx furcifer
3137,1021496,Mylopharodon conocephalus,1021496,Mylopharodon conocephalus,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Mylopharodon|Mylopharodon conocephalus
3138,1017386,Lavinia exilicauda,1017386,Lavinia exilicauda,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Lavinia|Lavinia exilicauda
3139,1021483,Catostomus occidentalis,1021483,Catostomus occidentalis,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Catostomidae|Catostomus|Catostomus occidentalis
3144,1443761,Engraulicypris argenteus,1018661,Rastrineobola argentea,0,0,1,Animalia|Chordata|Teleostei|Cypriniformes|Cyprinidae|Engraulicypris|Rastrineobola argentea
3145,1016785,Haplochromis quadrimaculatus,1016752,Copadichromis quadrimaculatus,0,0,1,Animalia|Chordata|Teleostei|Cichliformes|Cichlidae|Haplochromis|Copadichromis quadrimaculatus
3163,1330031,Stizostedion canadense,723270,Sander canadensis,0,0,1,Animalia|Chordata|Teleostei|Perciformes|Percidae|Stizostedion|Sander canadensis
3164,581703,Heterotis niloticus,581703,Heterotis niloticus,0,0,1,Animalia|Chordata|Teleostei|Osteoglossiformes|Arapaimidae|Heterotis|Heterotis niloticus
3322,874267,Curimata cyprinoides,874267,Curimata cyprinoides,0,0,1,Animalia|Chordata|Teleostei|Characiformes|Curimatidae|Curimata|Curimata cyprinoides
3323,1021215,Rhaphiodon vulpinus,1021215,Rhaphiodon vulpinus,0,0,1,Animalia|Chordata|Teleostei|Characiformes|Cynodontidae|Rhaphiodon|Rhaphiodon vulpinus
3324,1018170,Pygocentrus nattereri,1018170,Pygocentrus nattereri,0,0,1,Animalia|Chordata|Teleostei|Characiformes|Serrasalmidae|Pygocentrus|Pygocentrus nattereri
3441,1020971,Distichodus brevipinnis,1020971,Distichodus brevipinnis,0,0,1,Animalia|Chordata|Teleostei|Characiformes|Distichodontidae|Distichodus|Distichodus brevipinnis
3610,1021302,Hypophthalmus fimbriatus,1021302,Hypophthalmus fimbriatus,0,0,1,Animalia|Chordata|Teleostei|Siluriformes|Pimelodidae|Hypophthalmus|Hypophthalmus fimbriatus
