"","...1","name","tiplabel","species","AphiaID"
"3793",3793,3793,"Icelinus_cavifrons","Icelinus cavifrons",281135
"3794",3794,3794,"Icelus_spiniger","Icelus spiniger",254525
"3795",3795,3795,"Icelinus_oculatus","Icelinus oculatus",281139
"3796",3796,3796,"Icelinus_fimbriatus","Icelinus fimbriatus",281137
"3797",3797,3797,"Icelinus_burchami","Icelinus burchami",281134
"3798",3798,3798,"Icelinus_borealis","Icelinus borealis",281133
"3799",3799,3799,"Rastrinus_scutiger","Rastrinus scutiger",282552
"3800",3800,3800,"Icelus_bicornis","Icelus bicornis",127199
"3801",3801,3801,"Icelus_spatula","Icelus spatula",127200
"3802",3802,3802,"Myoxocephalus_brandtii","Myoxocephalus brandtii",274389
"3803",3803,3803,"Myoxocephalus_jaok","Myoxocephalus jaok",254527
"3804",3804,3804,"Myoxocephalus_polyacanthocephalus","Myoxocephalus polyacanthocephalus",254528
"3805",3805,3805,"Myoxocephalus_stelleri","Myoxocephalus stelleri",154570
"3806",3806,3806,"Myoxocephalus_ochotensis","Myoxocephalus ochotensis",274393
"3807",3807,3807,"Myoxocephalus_scorpius","Myoxocephalus scorpius",127203
"3808",3808,3808,"Myoxocephalus_thompsonii","Myoxocephalus thompsonii",567535
"3809",3809,3809,"Myoxocephalus_quadricornis","Myoxocephalus quadricornis",254529
"3810",3810,3810,"Megalocottus_platycephalus_platycephalus","Megalocottus platycephalus_platycephalus",293626
"3811",3811,3811,"Megalocottus_platycephalus_taeniopterus","Megalocottus platycephalus_taeniopterus",293627
"3812",3812,3812,"Myoxocephalus_octodecemspinosus","Myoxocephalus octodecemspinosus",159520
"3813",3813,3813,"Myoxocephalus_aenaeus","Myoxocephalus aenaeus",159519
"3814",3814,3814,"Enophrys_taurina","Enophrys taurina",275356
"3815",3815,3815,"Enophrys_bison","Enophrys bison",275355
"3816",3816,3816,"Taurulus_bubalis","Taurulus bubalis",127204
"3817",3817,3817,"Enophrys_lucasi","Enophrys lucasi",254518
"3818",3818,3818,"Enophrys_diceraus","Enophrys diceraus",154784
"3819",3819,3819,"Gymnocanthus_galeatus","Gymnocanthus galeatus",254514
"3820",3820,3820,"Gymnocanthus_intermedius","Gymnocanthus intermedius",274374
"3821",3821,3821,"Gymnocanthus_detrisus","Gymnocanthus detrisus",274372
"3822",3822,3822,"Gymnocanthus_tricuspis","Gymnocanthus tricuspis",127198
"3823",3823,3823,"Gymnocanthus_herzensteini","Gymnocanthus herzensteini",274373
"3824",3824,3824,"Psychrolutes_marmoratus","Psychrolutes marmoratus",274675
"3825",3825,3825,"Ebinania_macquariensis","Ebinania macquariensis",234672
"3826",3826,3826,"Cottunculus_thomsonii","Cottunculus thomsonii",127237
"3827",3827,3827,"Ebinania_vermiculata","Ebinania vermiculata",274672
"3828",3828,3828,"Cottunculus_microps","Cottunculus microps",127235
"3829",3829,3829,"Psychrolutes_phrictus","Psychrolutes phrictus",274678
"3830",3830,3830,"Psychrolutes_paradoxus","Psychrolutes paradoxus",254566
"3831",3831,3831,"Psychrolutes_sigalutes","Psychrolutes sigalutes",274679
"3832",3832,3832,"Malacocottus_kincaidi","Malacocottus kincaidi",279442
"3833",3833,3833,"Malacocottus_zonurus","Malacocottus zonurus",254406
"3834",3834,3834,"Dasycottus_setiger","Dasycottus setiger",280488
"3835",3835,3835,"Eurymen_gyrinus","Eurymen gyrinus",254565
"3836",3836,3836,"Artediellus_uncinatus","Artediellus uncinatus",127195
"3837",3837,3837,"Artediellus_atlanticus","Artediellus atlanticus",127193
"3838",3838,3838,"Artediellus_scaber","Artediellus scaber",127194
"3839",3839,3839,"Cottiusculus_gonez","Cottiusculus gonez",280406
"3840",3840,3840,"Artediellus_fuscimentus","Artediellus fuscimentus",274359
"3841",3841,3841,"Zesticelus_profundorum","Zesticelus profundorum",283218
"3842",3842,3842,"Triglops_murrayi","Triglops murrayi",127205
"3843",3843,3843,"Triglops_nybelini","Triglops nybelini",127206
"3844",3844,3844,"Triglops_pingelii","Triglops pingelii",127207
"3845",3845,3845,"Triglops_macellus","Triglops macellus",274399
"3846",3846,3846,"Triglops_scepticus","Triglops scepticus",254531
"3847",3847,3847,"Radulinus_boleoides","Radulinus boleoides",282542
"3848",3848,3848,"Radulinus_asprellus","Radulinus asprellus",282541
"3849",3849,3849,"Trichocottus_brashnikovi","Trichocottus brashnikovi",254355
"3850",3850,3850,"Asprocottus_herzensteini","Asprocottus herzensteini",1018383
"3851",3851,3851,"Asprocottus_platycephalus","Asprocottus platycephalus",1524943
"3852",3852,3852,"Asprocottus_korjakovi","Asprocottus korjakovi",1009950
"3853",3853,3853,"Asprocottus_pulcher","Asprocottus pulcher",1014035
"3854",3854,3854,"Cottinella_boulengeri","Cottinella boulengeri",1018431
"3855",3855,3855,"Abyssocottus_korotneffi","Abyssocottus korotneffi",1018385
"3856",3856,3856,"Limnocottus_griseus","Limnocottus griseus",1524945
"3857",3857,3857,"Limnocottus_godlewskii","Limnocottus godlewskii",1020416
"3858",3858,3858,"Limnocottus_pallidus","Limnocottus pallidus",1014291
"3859",3859,3859,"Limnocottus_bergianus","Limnocottus bergianus",1015258
"3860",3860,3860,"Abyssocottus_gibbosus","Abyssocottus gibbosus",1018384
"3861",3861,3861,"Batrachocottus_nikolskii","Batrachocottus nikolskii",1018973
"3862",3862,3862,"Batrachocottus_multiradiatus","Batrachocottus multiradiatus",1526123
"3863",3863,3863,"Cyphocottus_eurystomus","Cyphocottus eurystomus",1524944
"3864",3864,3864,"Cottocomephorus_grewingkii","Cottocomephorus grewingkii",280408
"3865",3865,3865,"Cottocomephorus_inermis","Cottocomephorus inermis",1018975
"3866",3866,3866,"Leocottus_kesslerii","Leocottus kesslerii",1014045
"3867",3867,3867,"Procottus_major","Procottus major",1525012
"3868",3868,3868,"Procottus_jeittelesii","Procottus jeittelesii",1020415
"3869",3869,3869,"Paracottus_knerii","Paracottus knerii",1020417
"3870",3870,3870,"Comephorus_dybowskii","Comephorus dybowskii",1018562
"3871",3871,3871,"Comephorus_baikalensis","Comephorus baikalensis",1023019
"3872",3872,3872,"Batrachocottus_baicalensis","Batrachocottus baicalensis",1020418
"3873",3873,3873,"Cottus_confusus","Cottus confusus",592852
"3874",3874,3874,"Cottus_hubbsi","Cottus hubbsi",1014247
"3875",3875,3875,"Cottus_bendirei","Cottus bendirei",1466624
"3876",3876,3876,"Cottus_extensus","Cottus extensus",1013620
"3877",3877,3877,"Cottus_hypselurus","Cottus hypselurus",1383812
"3878",3878,3878,"Cottus_bairdii","Cottus bairdii",578660
"3879",3879,3879,"Cottus_caeruleomentum","Cottus caeruleomentum",1010158
"3880",3880,3880,"Cottus_rhotheus","Cottus rhotheus",592854
"3881",3881,3881,"Cottus_cognatus","Cottus cognatus",159512
"3882",3882,3882,"Cottus_girardi","Cottus girardi",1013727
"3883",3883,3883,"Cottus_chattahoochee","Cottus chattahoochee",1008629
"3884",3884,3884,"Cottus_tallapoosae","Cottus tallapoosae",1384425
"3885",3885,3885,"Cottus_carolinae","Cottus carolinae",1044999
"3886",3886,3886,"Cottus_paulus","Cottus paulus",1010216
"3887",3887,3887,"Cottus_baileyi","Cottus baileyi",1013728
"3888",3888,3888,"Cottus_beldingii","Cottus beldingii",1019570
"3889",3889,3889,"Cottus_leiopomus","Cottus leiopomus",1019367
"3890",3890,3890,"Cottus_greenei","Cottus greenei",1019175
"3891",3891,3891,"Cottus_perifretum","Cottus perifretum",1009257
"3892",3892,3892,"Cottus_duranii","Cottus duranii",1009255
"3893",3893,3893,"Cottus_rhenanus","Cottus rhenanus",1009258
"3894",3894,3894,"Cottus_gobio","Cottus gobio",127196
"3895",3895,3895,"Cottus_aturi","Cottus aturi",1009260
"3896",3896,3896,"Cottus_sibiricus","Cottus sibiricus",1013368
"3897",3897,3897,"Cottus_ricei","Cottus ricei",NA
"3898",3898,3898,"Cottus_asper","Cottus asper",274368
"3899",3899,3899,"Cottus_gulosus","Cottus gulosus",1021621
"3900",3900,3900,"Cottus_marginatus","Cottus marginatus",1019995
"3901",3901,3901,"Cottus_perplexus","Cottus perplexus",1019368
"3902",3902,3902,"Cottus_pitensis","Cottus pitensis",1013621
"3903",3903,3903,"Cottus_aleuticus","Cottus aleuticus",274366
"3904",3904,3904,"Cottus_tenuis","Cottus tenuis",1019174
"3905",3905,3905,"Cottus_klamathensis","Cottus klamathensis",1018051
