source_taxon_external_id,source_taxon_name,source_taxon_path,source_specimen_life_stage,interaction_type,target_taxon_external_id,target_taxon_name,target_taxon_path,study_citation
AphiaID:362410,Hamaticolax prolixus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax prolixus,adult,ectoparasitic,AphiaID:AphiaID:362410,Pleuronichthys coenosus,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax prolixus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362410,Hamaticolax prolixus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax prolixus,adult,ectoparasitic,AphiaID:AphiaID:362410,Pleuronichthys verticalis,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax prolixus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362410,Hamaticolax prolixus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax prolixus,adult,ectoparasitic,AphiaID:AphiaID:362410,Porichthys notatus,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax prolixus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362410,Hamaticolax prolixus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax prolixus,adult,ectoparasitic,AphiaID:AphiaID:362410,Symphurus atricauda,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax prolixus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362410,Hamaticolax prolixus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax prolixus,adult,ectoparasitic,AphiaID:AphiaID:362410,Zalembius rosaceus,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax prolixus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362410,Hamaticolax prolixus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax prolixus,adult,ectoparasitic,AphiaID:AphiaID:362410,Zaniolepis frenata,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax prolixus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362410,Hamaticolax prolixus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax prolixus,adult,ectoparasitic,AphiaID:AphiaID:362410,Zaniolepis latipinnis,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax prolixus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362410,Hamaticolax prolixus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax prolixus,adult,ectoparasitic,AphiaID:AphiaID:362410,Chitonotus pugetensis,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax prolixus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362411,Hamaticolax scutigerulus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax scutigerulus,adult,ectoparasitic,AphiaID:AphiaID:362411,Pseudupeneus maculatus,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax scutigerulus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362412,Hamaticolax spinulus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax spinulus,adult,ectoparasitic,AphiaID:AphiaID:362412,Scorpaena guttata,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax spinulus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362412,Hamaticolax spinulus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax spinulus,adult,ectoparasitic,AphiaID:AphiaID:362412,Sebastes dallii,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax spinulus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
AphiaID:362412,Hamaticolax spinulus,Animalia | Arthropoda | Copepoda | Cyclopoida | Bomolochidae | Hamaticolax | Hamaticolax spinulus,adult,ectoparasitic,AphiaID:AphiaID:362412,Sebastes mystinus,Animalia  |  Arthropoda  |  Copepoda  |  Cyclopoida  |  Bomolochidae  |  Hamaticolax  |  Hamaticolax spinulus,"Ho, J.S. & C.L. Lin. (2006). A new bomolochid copepod parasitic on marine fishes of Taiwan, with reassignment of species of Holobomolochus Vervoort, 1969. <em>Crustaceana (Leiden).</em> 78(11):1369-1381. [for 2005}."
