"","AphiaID_host","Scientificname_host","AphiaID","url","scientificname","authority","status","unacceptreason","taxonRankID","rank","valid_AphiaID","valid_name","valid_authority","parentNameUsageID","kingdom","phylum","class","order","family","genus","citation","lsid","isMarine","isBrackish","isFreshwater","isTerrestrial","isExtinct","match_type","modified"
"3091",218271,"Promicrops lanceolatus",218271,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=218271","Promicrops lanceolatus","(Bloch, 1790)","unaccepted",NA,220,"Species",218224,"Epinephelus lanceolatus","(Bloch, 1790)",205312,"Animalia","Chordata","Teleostei","Perciformes","Serranidae","Promicrops","Froese, R. and D. Pauly. Editors. (2024). FishBase. Promicrops lanceolatus (Bloch, 1790). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=218271 on 2024-05-18","urn:lsid:marinespecies.org:taxname:218271",1,1,0,0,NA,"exact","2008-02-28T13:41:07.550Z"
"3092",276056,"Scarus ovifrons",276056,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=276056","Scarus ovifrons","Temminck & Schlegel, 1846","accepted",NA,220,"Species",276056,"Scarus ovifrons","Temminck & Schlegel, 1846",159299,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Scaridae","Scarus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Scarus ovifrons Temminck & Schlegel, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276056 on 2024-05-18","urn:lsid:marinespecies.org:taxname:276056",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"3093",276037,"Pristigenys serrula",276037,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=276037","Pristigenys serrula","(Gilbert, 1891)","accepted",NA,220,"Species",276037,"Pristigenys serrula","(Gilbert, 1891)",159293,"Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Priacanthidae","Pristigenys","Froese, R. and D. Pauly. Editors. (2024). FishBase. Pristigenys serrula (Gilbert, 1891). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=276037 on 2024-05-18","urn:lsid:marinespecies.org:taxname:276037",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"3094",280923,"Goniistius zonatus",280923,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=280923","Goniistius zonatus","(Cuvier, 1830)","accepted",NA,220,"Species",280923,"Goniistius zonatus","(Cuvier, 1830)",269256,"Animalia","Chordata","Teleostei","Centrarchiformes","Cheilodactylidae","Goniistius","Froese, R. and D. Pauly. Editors. (2024). FishBase. Goniistius zonatus (Cuvier, 1830). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=280923 on 2024-05-18","urn:lsid:marinespecies.org:taxname:280923",1,0,0,0,NA,"exact","2023-01-10T08:56:01.993Z"
"3095",303993,"Pseudupeneus chrysopleuron",303993,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=303993","Pseudupeneus chrysopleuron","(Temminck & Schlegel, 1843)","unaccepted",NA,220,"Species",277813,"Parupeneus chrysopleuron","(Temminck & Schlegel, 1843)",126035,"Animalia","Chordata","Teleostei","Mulliformes","Mullidae","Pseudupeneus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Pseudupeneus chrysopleuron (Temminck & Schlegel, 1843). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=303993 on 2024-05-18","urn:lsid:marinespecies.org:taxname:303993",1,0,0,0,NA,"exact","2008-02-28T13:41:07.550Z"
"3096",282200,"Pentaceropsis recurvirostris",282200,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=282200","Pentaceropsis recurvirostris","(Richardson, 1845)","accepted",NA,220,"Species",282200,"Pentaceropsis recurvirostris","(Richardson, 1845)",270329,"Animalia","Chordata","Teleostei","Acropomatiformes","Pentacerotidae","Pentaceropsis","Froese, R. and D. Pauly. Editors. (2024). FishBase. Pentaceropsis recurvirostris (Richardson, 1845). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=282200 on 2024-05-18","urn:lsid:marinespecies.org:taxname:282200",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"3097",282149,"Paristiopterus gallipavo",282149,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=282149","Paristiopterus gallipavo","Whitley, 1944","accepted",NA,220,"Species",282149,"Paristiopterus gallipavo","Whitley, 1944",270297,"Animalia","Chordata","Teleostei","Acropomatiformes","Pentacerotidae","Paristiopterus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Paristiopterus gallipavo Whitley, 1944. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=282149 on 2024-05-18","urn:lsid:marinespecies.org:taxname:282149",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"3098",281124,"Hypoptychus dybowskii",281124,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=281124","Hypoptychus dybowskii","Steindachner, 1880","accepted",NA,220,"Species",281124,"Hypoptychus dybowskii","Steindachner, 1880",269461,"Animalia","Chordata","Teleostei","Perciformes","Hypoptychidae","Hypoptychus","Froese, R. and D. Pauly. Editors. (2024). FishBase. Hypoptychus dybowskii Steindachner, 1880. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281124 on 2024-05-18","urn:lsid:marinespecies.org:taxname:281124",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
"3099",281212,"Kareius bicoloratus",281212,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=281212","Kareius bicoloratus","(Basilewsky, 1855)","unaccepted",NA,220,"Species",305689,"Platichthys bicoloratus","(Basilewsky, 1855)",269547,"Animalia","Chordata","Teleostei","Pleuronectiformes","Pleuronectidae","Kareius","Froese, R. and D. Pauly. Editors. (2024). FishBase. Kareius bicoloratus (Basilewsky, 1855). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=281212 on 2024-05-18","urn:lsid:marinespecies.org:taxname:281212",1,1,1,0,NA,"exact","2021-08-30T17:18:03Z"
"3100",274905,"Lepidotrigla microptera",274905,"https://www.marinespecies.org/aphia.php?p=taxdetails&id=274905","Lepidotrigla microptera","Günther, 1873","accepted",NA,220,"Species",274905,"Lepidotrigla microptera","Günther, 1873",126179,"Animalia","Chordata","Teleostei","Perciformes","Triglidae","Lepidotrigla","Froese, R. and D. Pauly. Editors. (2024). FishBase. Lepidotrigla microptera Günther, 1873. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=274905 on 2024-05-18","urn:lsid:marinespecies.org:taxname:274905",1,0,0,0,NA,"exact","2008-01-15T17:27:08.177Z"
